start	stop	strand
633856	635343	+
635439	636848	+
636841	638484	+
638573	641209	+
641189	642211	-
642299	642565	-
642610	643644	-
644332	645834	+
645885	647804	+
647839	648498	-
648526	649161	-
649185	650297	-
650405	652552	-
652506	653159	-
653169	654521	-
654518	655648	-
655645	656508	-
656505	657191	-
657197	657748	-
657852	658724	-
658815	659690	-
660056	660784	-
661048	662835	+
662845	664926	+
665068	665847	+
665928	667367	+
667394	668542	+
668539	669753	+
669804	670247	+
670244	671032	+
671402	671791	-
671847	672644	-
672656	674485	-
674543	676819	-
676878	678659	-
678880	680415	+
680419	681849	+
681963	682601	+
682598	683773	+
683770	686913	+
686910	688391	+
688574	689386	+
689625	690467	+
690448	691725	+
691830	692843	+
692984	693859	+
693978	696449	+
696484	697248	-
697292	698242	-
698466	698900	-
699449	701284	+
701308	703152	+
703170	704573	-
704639	706399	+
706396	707043	+
707040	708626	-
708892	710034	-
710126	711406	-
711456	713432	-
713449	714246	-
714234	714716	-
714722	717286	-
717323	718450	+
718447	719346	+
719339	720157	+
720193	721239	+
721294	721515	-
721509	721961	-
721980	723230	-
723264	725141	-
725247	725759	-
725882	726880	-
727147	727875	+
727872	728597	+
728615	729370	-
729367	729543	-
729704	731359	-
731602	732210	-
732207	735719	-
737065	738066	-
738130	739605	-
739653	741353	-
741444	742052	+
742016	743056	+
743068	743346	-
743368	743976	-
744230	745153	+
745150	745467	+
745508	746566	-
746617	747750	-
747779	748381	-
748435	749568	+
749861	751072	+
751192	752682	+
752697	754292	+
754420	756480	-
756536	757528	-
757550	758932	-
758968	759549	-
759542	760294	-
760328	761551	-
761812	763134	-
763294	763971	+
764059	765852	+
765840	766658	-
766738	767346	-
767377	767922	-
767861	767956	-
768035	768427	-
768565	768768	-
768938	770170	-
770170	772464	-
772433	775087	-
775384	776424	-
776372	776749	-
776917	777432	+
777488	778276	+
778285	780255	+
780292	780864	+
780879	781793	-
781765	783078	-
783113	785236	-
785245	786375	-
786372	787169	-
787182	787463	-
787485	788300	-
788297	789034	-
789021	790067	-
790060	791094	-
791116	791664	-
791643	791774	-
791774	792490	-
792496	793275	-
793291	793488	-
793546	794937	-
795008	795469	-
795545	797188	-
797403	798254	+
798328	798948	+
798950	799975	-
799993	800652	+
800685	801386	-
801468	803024	-
803027	803869	-
804103	805413	+
805459	805794	-
805791	806987	-
807061	807774	-
807755	808369	-
808366	809496	-
809614	809877	-
809908	810234	-
810247	810564	-
810671	813376	-
813386	814420	-
814439	814558	-
814509	816545	-
816714	817385	+
817422	818135	+
818273	819388	-
819496	819780	-
819777	821147	-
821189	821878	-
821931	822890	-
822894	823382	-
823423	823632	-
823920	825785	+
825766	826644	+
826704	827855	+
827917	828750	-
828817	829992	+
829974	832001	-
832206	833087	+
833298	835385	+
835524	836561	+
836558	837535	+
837709	839529	+
839550	841211	-
841377	842159	+
843740	844414	+
844494	845129	+
845054	845209	-
845206	845982	-
846035	846259	-
846328	847236	-
847236	847880	-
847927	849951	-
850003	850953	-
850982	852079	-
852281	852880	+
852877	853563	+
853560	854408	+
854455	854847	-
854956	855846	+
855859	856635	-
856654	859305	-
859694	860554	+
860633	862252	+
862289	863479	-
863680	864684	-
864828	865619	-
865670	868105	-
868502	869905	+
869966	872395	-
872784	873992	+
874070	875233	+
875258	877360	-
877360	878856	-
878985	879173	+
879234	879470	+
879467	880231	+
880262	881173	+
882134	883027	+
883045	884067	-
884290	885213	+
885407	886318	+
886390	887055	-
887193	888491	-
888667	889593	-
889627	890388	-
890493	891299	-
891380	892285	-
892373	892759	-
893156	895048	+
895217	896038	+
896016	896978	+
896975	897352	+
897349	898233	+
898230	899015	+
899083	900852	-
900875	901681	-
901763	902479	+
902536	903786	-
903873	906677	-
906818	907642	-
907820	909568	+
909617	911281	-
911356	912363	-
912468	914717	+
914779	916353	-
916548	917315	-
917439	918236	-
918356	919408	+
919463	920053	-
920034	920360	-
920360	920695	-
920689	921057	-
921090	921290	-
921343	921864	-
922051	924219	+
924248	925246	-
925397	926533	-
926588	931189	-
931186	934569	-
934725	935909	+
936125	937237	+
937373	938803	+
938878	940785	-
941022	941810	-
941951	943234	+
943293	944846	-
944967	946346	-
946494	948434	-
948754	949614	+
949893	950750	+
951048	953216	+
953228	953830	+
953827	954102	+
954142	954549	+
954596	955261	+
955266	956363	+
956376	957335	-
957332	958780	-
958810	959535	-
959525	960367	-
960410	961765	-
961878	962996	-
962993	964090	-
964111	964551	-
964548	966656	-
966804	967073	-
967089	967916	-
967920	969005	-
968998	969378	-
969375	972071	-
972079	973536	-
973586	974056	-
974077	974211	-
974230	975252	-
975259	975765	-
975921	977441	-
977438	981157	-
981154	984114	-
984153	985565	-
985606	986487	-
986489	988087	+
988294	988665	+
988674	988916	+
988967	989503	+
989500	990252	+
990224	990595	+
990592	991512	+
991534	991785	+
991870	993120	+
993104	993484	+
993481	993663	+
993656	994042	+
994116	995450	+
995619	996968	+
996965	997756	+
997782	998099	-
998328	1000751	+
1000859	1002196	+
1002269	1003321	+
1003265	1004287	-
1004611	1006947	+
1007134	1007754	+
1007905	1009740	-
1009914	1010126	+
1010275	1011744	+
1011783	1013489	+
1013573	1015003	-
1015115	1016737	-
1016873	1018096	+
1018089	1019027	-
1019221	1020294	-
1020466	1021101	-
1021098	1021808	-
1021993	1025547	-
1025742	1026260	-
1026337	1026801	-
1026807	1027253	-
1027302	1028474	-
1028645	1029301	-
1029453	1030121	+
1030166	1030813	-
1030810	1031505	-
1031521	1033389	-
1033389	1033673	-
1033677	1034078	-
1034084	1034239	-
1034359	1035366	-
1035478	1036656	-
1036755	1038191	-
1038341	1038634	+
1038577	1039602	+
1039693	1040721	+
1040753	1042651	+
1042720	1043109	-
1043121	1043915	-
1043991	1044806	-
1044892	1046124	-
1046235	1047464	-
1047454	1048161	-
1048161	1049123	-
1049148	1050734	-
1050829	1052382	-
1052379	1054001	-
1053998	1055536	-
1055752	1056366	-
1056386	1056556	-
1056522	1057868	-
1057956	1059617	+
1059669	1059947	-
1060002	1060826	-
1060873	1062252	+
1062239	1063099	+
1063129	1063689	+
1063859	1064632	+
1064607	1065662	+
1065842	1066885	+
1066907	1067527	+
1067559	1068233	+
1068257	1070176	-
1070425	1072128	+
1072184	1073068	+
1073114	1073497	-
1073588	1074187	+
1074223	1074927	-
1075142	1078243	+
1078307	1078465	+
1078420	1078785	+
1078854	1079876	-
1080235	1081044	+
1081044	1081178	+
1081126	1082460	+
1084263	1086059	-
1086093	1087481	-
1087667	1090066	+
1090355	1090915	+
1091055	1092155	-
1092250	1093005	-
1093203	1094150	+
1094173	1094778	-
1094852	1096570	-
1096629	1098542	-
1098651	1099568	-
1099611	1102148	-
1102275	1103345	-
1103442	1103891	-
1104017	1104625	-
1104660	1105550	-
1105800	1106066	+
1106077	1107939	-
1107977	1108402	-
1108399	1109484	-
1109557	1111488	-
1111546	1113060	+
1113082	1113525	+
1113526	1115046	+
1115039	1116568	+
1116664	1118031	-
1118078	1118746	-
1118700	1119089	-
1119105	1119533	-
1119530	1119772	-
1119966	1121735	+
1121758	1122633	+
1122649	1124706	-
1124744	1125430	-
1125691	1127520	+
1127588	1128022	-
1128034	1128969	-
1129043	1130068	+
1130065	1133019	-
1133088	1135466	+
1135556	1136272	-
1136431	1136964	-
1137191	1137763	+
1137786	1138841	-
1138841	1139440	-
