start	stop	strand
638573	641209	+
641189	642211	-
642299	642565	-
642610	643569	-
644332	645834	+
645771	647804	+
647839	648498	-
648526	649161	-
649185	650297	-
650405	652468	-
652506	653162	-
653169	654521	-
654518	655669	-
655645	656508	-
656505	657191	-
657197	657748	-
657852	658724	-
658815	659690	-
660056	660946	-
661264	662835	+
662845	664926	+
665068	665847	+
665928	667367	+
667394	668542	+
668539	669753	+
669804	670247	+
670268	671032	+
671059	671337	-
671402	671791	-
671847	672659	-
672656	674485	-
674543	676819	-
676878	678659	-
678076	680415	+
680419	681849	+
681849	682601	+
682598	683773	+
683770	686913	+
686910	688391	+
688562	689386	+
689556	690467	+
690514	691725	+
691830	692843	+
692984	693859	+
693978	696449	+
696484	697254	-
697292	698242	-
698466	698900	-
699320	701284	+
701308	703152	+
703170	704498	-
704639	706399	+
706396	707043	+
707040	708626	-
708657	708833	-
708892	710214	-
710126	711406	-
711456	713504	-
713449	714246	-
714234	714716	-
717311	718450	+
718447	719346	+
719339	720157	+
720193	721239	+
721294	721515	-
721509	721961	-
721980	723230	-
723264	725141	-
725247	725759	-
725882	726880	-
727147	727875	+
727872	728597	+
728615	729370	-
729367	729660	-
729704	731371	-
731602	732210	-
732207	735719	-
735873	737063	-
737065	738099	-
738130	739518	-
739653	741266	-
741444	742052	+
742058	743056	+
743068	743346	-
743368	743976	-
744230	745153	+
745150	745467	+
745508	746566	-
746617	747750	-
747779	748381	-
748474	749568	+
749861	751072	+
751192	752682	+
752697	754292	+
754420	756480	-
756536	757549	-
757550	758932	-
758968	759549	-
759542	760300	-
760328	761551	-
761812	763134	-
763294	763971	+
764059	765852	+
765840	766676	-
767377	767922	-
768035	768427	-
768565	768768	-
768938	770170	-
770170	772290	-
772433	775087	-
775384	776310	-
776372	776851	-
776917	777432	+
777488	778276	+
778285	780255	+
780292	780864	+
780879	781793	-
781765	783078	-
783113	785236	-
785245	786375	-
786372	787169	-
787182	787466	-
787485	788300	-
788297	789085	-
789021	790067	-
790060	791094	-
791116	791664	-
791774	792490	-
792496	793275	-
793291	793488	-
793546	794937	-
795008	795469	-
795545	797188	-
797157	798254	+
798274	798948	+
798950	799897	-
799993	800652	+
800685	801386	-
801468	803024	-
803027	803869	-
804103	805413	+
805459	805794	-
805791	806987	-
807061	807627	-
807755	808369	-
808366	809496	-
809614	809877	-
809908	810234	-
810247	810564	-
810671	813376	-
813386	814420	-
814509	816545	-
816523	816744	-
816714	817385	+
817422	818135	+
818273	819415	-
819496	819780	-
819777	821147	-
821189	821731	-
821931	822890	-
822894	823382	-
823423	823632	-
823827	825785	+
825766	826644	+
826665	827855	+
827917	828858	-
828817	829992	+
829974	831803	-
832206	833087	+
833298	835385	+
835524	836561	+
836558	837535	+
837580	839529	+
839550	841331	-
841335	842159	+
842199	843395	-
843740	844414	+
844494	845129	+
845206	845982	-
846035	846259	-
846328	847239	-
847236	847880	-
847927	849966	-
850003	850953	-
850982	852115	-
852281	852880	+
852877	853563	+
853695	854408	+
854455	854874	-
854956	855846	+
855859	856635	-
856654	859320	-
859463	859708	-
859694	860554	+
860633	862252	+
862289	863479	-
863533	863691	+
863680	864768	-
864828	865619	-
865670	868105	-
868138	868290	+
868433	869905	+
869966	872395	-
872441	872770	+
872784	873992	+
874070	875233	+
875258	877363	-
877360	878856	-
878985	879173	+
879234	879470	+
879467	880231	+
880262	881173	+
883045	884067	-
884290	885213	+
885335	886318	+
886390	887055	-
887193	888491	-
888488	888640	-
888667	889599	-
889627	890397	-
890493	891299	-
891380	892285	-
892373	892759	-
893156	895048	+
895045	895230	+
895217	896038	+
895701	896978	+
896975	897352	+
897349	898233	+
898230	899015	+
899083	900852	-
900875	901690	-
901757	902479	+
902536	903786	-
903873	906677	-
906818	907642	-
907790	909568	+
909617	911281	-
911356	912363	-
912468	914717	+
914779	916236	-
916548	917315	-
917439	918263	-
918356	919408	+
919463	920053	-
920034	920360	-
920360	920695	-
920689	921057	-
921090	921290	-
921343	921882	-
922045	924219	+
924248	925246	-
925397	926533	-
926588	931189	-
931186	934569	-
934725	935909	+
935706	936026	-
936011	937237	+
937319	938803	+
938878	940785	-
941022	941816	-
941951	943234	+
943293	944933	-
944967	946406	-
946494	948434	-
948400	948585	-
948754	949614	+
949629	949865	+
949893	950750	+
950811	950972	-
951048	953216	+
953228	953830	+
953827	954102	+
954142	954549	+
954596	955261	+
955266	956363	+
956376	957326	-
957332	958813	-
958810	959535	-
959525	960331	-
960410	961912	-
961878	962975	-
962993	964081	-
964111	964551	-
964548	966656	-
966804	967073	-
967089	967916	-
967920	969020	-
968998	969378	-
969375	971903	-
972079	973536	-
973586	974056	-
974230	975252	-
975259	975765	-
975787	975939	-
975921	977441	-
977438	981157	-
981154	984114	-
984153	985565	-
985606	986487	-
986489	988087	+
988080	988331	+
988294	988665	+
988674	988916	+
988979	989503	+
989500	990252	+
990224	990595	+
990592	991512	+
991534	991785	+
991798	993120	+
993104	993484	+
993656	994042	+
994116	995450	+
995619	996968	+
996983	997756	+
997782	998099	-
998322	1000751	+
1000859	1002196	+
1002269	1003321	+
1003265	1004287	-
1004611	1006947	+
1007314	1007754	+
1007905	1009443	-
1009536	1010126	+
1010221	1011744	+
1011768	1013489	+
1013573	1015003	-
1015115	1016737	-
1016873	1018096	+
1018089	1019027	-
1019221	1020294	-
1020466	1021101	-
1021098	1021928	-
1021993	1025547	-
1025742	1026260	-
1026337	1026801	-
1026807	1027253	-
1027302	1028474	-
1028645	1029301	-
1029453	1030121	+
1030166	1030813	-
1030810	1031505	-
1031521	1033518	-
1033389	1033673	-
1033677	1034078	-
1034084	1034239	-
1034359	1035396	-
1035478	1036668	-
1036755	1038191	-
1038263	1038535	-
1038631	1039602	+
1039693	1040721	+
1040753	1042651	+
1042720	1043109	-
1043121	1043915	-
1043991	1044806	-
1044892	1046124	-
1046235	1047464	-
1047454	1048161	-
1048161	1049123	-
1049148	1050782	-
1050829	1052382	-
1052379	1054001	-
1053998	1055617	-
1055752	1056366	-
1056522	1057868	-
1057956	1059617	+
1059669	1059950	-
1060002	1060826	-
1060873	1062252	+
1062239	1063099	+
1063096	1063689	+
1063859	1064632	+
1064640	1065662	+
1065722	1066885	+
1066901	1067527	+
1067517	1068233	+
1068257	1070176	-
1070320	1072128	+
1072184	1073068	+
1073114	1073284	-
1073351	1074187	+
1074223	1075095	-
1075142	1078243	+
1078307	1078465	+
1078498	1078785	+
1078854	1079879	-
1080235	1081044	+
1081120	1082460	+
1082490	1084106	-
1084263	1086059	-
1086093	1087595	-
1087667	1090066	+
1090244	1090915	+
1091055	1092236	-
1092250	1092918	-
1093113	1094150	+
1094173	1094778	-
1094852	1096570	-
1096629	1098542	-
1098651	1099568	-
1099611	1102148	-
1102275	1103345	-
1103442	1103891	-
1104017	1104625	-
1104660	1105595	-
1105800	1106066	+
1106077	1108011	-
1107977	1108402	-
1108399	1109484	-
1109557	1111374	-
1111546	1113060	+
1113082	1113525	+
1113526	1115046	+
1115039	1116568	+
1116664	1118031	-
1118078	1118572	-
1118700	1119089	-
1119105	1119533	-
1119966	1121735	+
1121857	1122633	+
1122649	1124661	-
1124744	1125430	-
1125793	1125948	-
1125976	1127520	+
1127588	1128022	-
1128034	1128969	-
1129043	1130068	+
1130065	1132935	-
1133088	1135466	+
1135556	1136272	-
1136431	1136964	-
1137191	1137763	+
1137786	1138841	-
1138841	1139554	-
